Getting Started with Enterprise-grade AI,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F02%2FGetting-Started-with-Enterprise-grade-AI.png&w=640&q=75,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=256c0f15-a1f2-4b9e-b672-63f4d8b20018,Artificial Intelligence,5
Building Trustworthy AI Enterprise Solutions,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F02%2FBuilding-Trustworthy-AI-Enterprise-Solutions.png&w=640&q=75,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=a0c78296-18d1-4e92-bebe-d31add4862e8&_gl=1*vt3f3l*_ga*OTYzODkxMTA0LjE3MDY2OTU2ODE.*_ga_FYECCCS21D*MTcwNjY5OTA4OC4yLjAuMTcwNjY5OTE1Ny4wLjAuMA..&_ga=2.218763857.977692365.1706695681-963891104.1706695681,Artificial Intelligence,10
Building AI Solutions Using Advanced Algorithms and Open Source Frameworks,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F02%2FBuilding-AI-Solutions-Using-Advanced-Algorithms-and-Open-Source-Frameworks.png&w=640&q=75,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=d92c9dca-c230-4dfb-b214-d18c56104d5d&_gl=1*15y337k*_ga*OTYzODkxMTA0LjE3MDY2OTU2ODE.*_ga_FYECCCS21D*MTcwNjY5OTA4OC4yLjAuMTcwNjY5OTE1Ny4wLjAuMA..&_ga=2.11023100.977692365.1706695681-963891104.1706695681,Artificial Intelligence,20
Artificial Intelligence Fundamentals,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F07%2FArtificial-Intelligence-Fundamentals.png&w=640&q=75,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=c7124e68-cce6-4dc4-b968-d65ba035a59f&_gl=1*qgejzo*_ga*OTYzODkxMTA0LjE3MDY2OTU2ODE.*_ga_FYECCCS21D*MTcwNjY5OTA4OC4yLjAuMTcwNjY5OTE1Ny4wLjAuMA..&_ga=2.216045278.977692365.1706695681-963891104.1706695681,Artificial Intelligence,10
Journey to Cloud: Envisioning Your Solution,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F02%2FJourney-to-Cloud-Envisioning-Your-Solution.png&w=640&q=75,https://www.ibm.com/academic/topic/cloud?ach_id=c0b2b320-7cac-4b42-b5d9-10bbf2c6890e&_gl=1*w5t943*_ga*OTYzODkxMTA0LjE3MDY2OTU2ODE.*_ga_FYECCCS21D*MTcwNjY5OTA4OC4yLjAuMTcwNjY5OTE1Ny4wLjAuMA..&_ga=2.250035662.977692365.1706695681-963891104.1706695681,Cloud,5
Journey to Cloud: Orchestrating Your Solution,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F02%2FJourney-to-Cloud-Orchestrating-your-Solution.png&w=640&q=75,https://www.ibm.com/academic/topic/cloud?ach_id=afef1487-e2da-4984-bf9c-0a4f226d7ab5&_gl=1*1fy86d7*_ga*OTYzODkxMTA0LjE3MDY2OTU2ODE.*_ga_FYECCCS21D*MTcwNjcwMjE5OC4zLjAuMTcwNjcwMjE5OC4wLjAuMA..&_ga=2.190911074.977692365.1706695681-963891104.1706695681,Cloud,20
Journey to Cloud: Transforming Your Culture,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F02%2FJourney-to-Cloud-Transforming-Your-Culture.png&w=640&q=75,https://www.ibm.com/academic/topic/cloud?ach_id=83bb2016-5d9f-41dc-b0f8-f07caad9de6e&_gl=1*1qsrbtv*_ga*OTYzODkxMTA0LjE3MDY2OTU2ODE.*_ga_FYECCCS21D*MTcwNjcwMjE5OC4zLjEuMTcwNjcwMjY0OS4wLjAuMA..&_ga=2.180908783.977692365.1706695681-963891104.1706695681,Cloud,10
Cloud Computing Fundamentals,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F06%2FCloud-Computing-Fundamentals.png&w=640&q=75,https://www.ibm.com/academic/topic/cloud?ach_id=a97d681b-ef48-4d70-b3e8-9fd87894e3a1&_gl=1*11at27t*_ga*OTYzODkxMTA0LjE3MDY2OTU2ODE.*_ga_FYECCCS21D*MTcwNjcwMjE5OC4zLjEuMTcwNjcwMjY0OS4wLjAuMA..&_ga=2.181942639.977692365.1706695681-963891104.1706695681,Cloud,10
Building Cloud-based Mobile Solutions for the Enterprise,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F02%2FBuilding-Cloud-based-Mobile-Solutions-for-the-Enterprise.png&w=640&q=75,,Cloud,10
DevOps for Enterprise Business Agility,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F02%2FDevOps-for-Enterprise-Business-Agility.png&w=640&q=75,https://www.ibm.com/academic/topic/cloud?ach_id=1249104d-a046-4299-92ab-40135364e4e2&_gl=1*jrhr7d*_ga*OTYzODkxMTA0LjE3MDY2OTU2ODE.*_ga_FYECCCS21D*MTcwNjcwMjE5OC4zLjEuMTcwNjcwMzA0NC4wLjAuMA..&_ga=2.224366931.977692365.1706695681-963891104.1706695681,Cloud,10
Getting Started with Enterprise Data Science,https://skillsbuild.org/_next/image?url=https%3A%2F%2Fskillsbuild.org%2Fmedia%2F2023%2F02%2FGetting-Started-with-Enterprise-Data-Science.png&w=640&q=75,https://www.ibm.com/academic/topic/data-science?ach_id=8d72f699-26ac-4542-a701-6b69f50e6b5f&_gl=1*1h3jein*_ga*OTYzODkxMTA0LjE3MDY2OTU2ODE.*_ga_FYECCCS21D*MTcwNjcwMjE5OC4zLjEuMTcwNjcwMzEyMC4wLjAuMA..&_ga=2.254228032.977692365.1706695681-963891104.1706695681,Data science,5
